Country Name,GDP (current US$),Internet users (per 100 people),Rural Population,Population total,GDP per capita (current US$),Labor force total,Labor force female (% of total labor force),Armed forces personnel (% of total labor force),Surface area (sq. km),Population density (people per sq. km of land area),Arable land (% of land area),Unemployment total (% of total labor force) (modeled ILO estimate),Unemployment female (% of female labor force) (modeled ILO estimate)
China,8.37E+12,42,6.50E+08,1.35E+09,6187.9,7.92E+08,43.9204,0.374778,9.56E+06,143.886,11.3275,4.4,3.625
Bhutan,1.77E+09,24.574,472804,743170,2376.11,376564,41.5114,0,38394,19.4971,2.63137,2.65,3.475
Timor-Leste,1.27E+09,0.85294,791997,1.15E+06,1101.58,252695,32.0669,0.52692,14870,77.0401,10.3396,4.025,5.775
"Taiwan, China",0,0,0,0,0,0,0,0,0,0,0,0,0
"Macao SAR, China",4.30E+10,62.4583,0,557008,76701.6,344050,48.4518,0,30.02,18551.9,0,2.3,1.9
"Hong Kong SAR, China",2.61E+11,73.172,0,7.14E+06,36586.8,3.71E+06,46.8675,0,1100,6796.11,3.14286,3.575,2.95
Central African Republic,1.94E+09,2.946,2.81E+06,4.62E+06,420.015,2.16E+06,47.0818,0.25932,622980,7.4193,2.88934,7.075,7.475
Denmark,3.32E+11,92.2819,718938,5.59E+06,59408.2,2.92E+06,47.3413,0.594881,43090,131.814,57.4216,7.4,7.2
Ukraine,1.58E+11,34.3357,1.41E+07,4.56E+07,3502.27,2.31E+07,48.9082,0.828127,603550,78.7208,56.1089,7.85,6.675
Uzbekistan,5.11E+10,33.6943,1.90E+07,2.97E+07,1711.32,1.29E+07,40.2796,0.568084,447400,69.8928,10.2551,10.9,11.1
Uganda,2.24E+10,14.8226,3.01E+07,3.54E+07,630.793,1.39E+07,49.3497,0.338057,241550,176.707,34.1612,4.1,4.75
Uruguay,5.09E+10,54.2817,176839,3.40E+06,14983.7,1.73E+06,44.4337,1.47076,176220,19.4084,12.6586,6.65,8.625
Chad,1.24E+10,2.1,9.91E+06,1.27E+07,973.353,4.62E+06,45.011,0.755864,1.28E+06,10.1085,3.81194,7.025,7.475
"Yemen, Rep.",3.25E+10,17.4503,1.67E+07,2.49E+07,1322.41,6.93E+06,25.8565,1.9946,527970,47.134,2.3453,17.65,40.1
Armenia,1.01E+10,36.54,1.10E+06,2.98E+06,3398.26,1.50E+06,43.5143,3.49392,29740,104.729,15.7561,17.725,19.25
Israel,2.69E+11,69.8848,637014,7.91E+06,33884.6,3.44E+06,46.9008,5.38786,22070,365.755,13.5155,6.35,6.325
Iraq,1.99E+11,7.02,1.01E+07,3.28E+07,6038.69,7.95E+06,17.421,8.24336,435240,75.5448,10.1529,15.375,23.575
"Iran, Islamic Rep.",4.93E+11,25.386,2.15E+07,7.62E+07,6480.22,2.59E+07,18.1693,2.1773,1.75E+06,46.7767,9.25839,13.275,20.45
Belize,1.52E+09,32.44,186823,336682,4563.67,142530,37.6568,0.737736,22970,14.7603,3.35379,13,18.3
Cabo Verde,1.80E+09,34.9,183653,501514,3584.41,229885,39.0341,0.522382,4030,124.445,13.0273,7,7.325
Russian Federation,1.88E+12,58.858,3.75E+07,1.43E+08,13060.2,7.68E+07,48.8561,1.76295,1.71E+07,8.74817,7.34252,6.225,5.775
Bulgaria,5.34E+10,50.9323,1.98E+06,7.31E+06,7315.95,3.36E+06,46.4401,1.54156,111000,67.3199,30.4716,11.675,10.6
Croatia,5.87E+10,62.3195,1.80E+06,4.29E+06,13677.2,1.88E+06,45.6637,1.09465,56590,76.6907,16.011,14.675,14.55
Guam,0,61.5888,9344.6,163154,0,74271,43.9344,0,540,302.137,1.85185,0,0
"Gambia, The",8.93E+08,12.4159,764691,1.81E+06,496.013,738833,47.7934,0.108415,11300,178.741,43.9723,7.05,7.475
Iceland,1.49E+10,95.8253,19831,321825,46355.1,188002,47.4481,0.0917079,103000,3.21022,1.21596,6.575,5.95
Guinea,5.67E+09,1.42203,7.47E+06,1.16E+07,485.27,4.69E+06,45.6817,0.301525,245860,47.3562,12.1073,1.7,1.4
Guinea-Bissau,9.76E+08,2.8872,910422,1.72E+06,568.773,727981,47.1009,0.887112,36130,61.024,10.6686,6.9,7.225
Liechtenstein,5.44E+09,88.6835,31498.2,36786,148785,0,0,0,160,229.912,18.5938,0,0
"Congo, Rep.",1.37E+10,6.08334,1.54E+06,4.29E+06,3188.16,1.72E+06,48.6323,0.696805,342000,12.5499,1.55198,6.55,6.825
"Congo, Dem. Rep.",2.70E+10,1.75999,4.15E+07,7.03E+07,381.228,2.67E+07,49.8019,0.52831,2.34E+06,31.0313,3.08771,8.15,9.05
Libya,5.96E+10,15.565,1.38E+06,6.27E+06,9502.23,2.36E+06,27.713,0.297943,1.76E+06,3.56488,0.976392,19.05,27.825
Liberia,1.71E+09,3.202,2.15E+06,4.18E+06,406.797,1.44E+06,47.5717,0.142258,111370,43.4343,5.13912,3.7,3.975
Canada,1.77E+12,83.844,6.50E+06,3.48E+07,50972,1.92E+07,47.1449,0.342652,9.98E+06,3.82253,4.89896,7.425,6.9
Ghana,4.02E+10,11.72,1.22E+07,2.55E+07,1570.37,1.06E+07,49.9306,0.145829,238540,112.281,20.5898,4.3,4.475
Gabon,1.69E+10,8.57134,220306,1.61E+06,10457.4,601331,45.7491,1.11537,267670,6.26441,1.2613,20.175,26.9
Hungary,1.33E+11,70.4748,3.00E+06,9.93E+06,13423.1,4.36E+06,45.8699,0.861125,93030,109.68,48.5668,10.8,10.575
Northern Mariana Islands,0,0,5717,53763.6,0,0,0,0,460,116.877,2.17391,0,0
South Sudan,1.38E+10,12.3333,8.98E+06,1.10E+07,1266.46,0,0,0,644330,0,0,0,0
South Africa,3.81E+11,38.894,1.92E+07,5.24E+07,7285.43,1.86E+07,44.3152,0.394696,1.22E+06,43.1702,10.2148,24.825,27.75
Botswana,1.48E+10,11.8,923430,2.13E+06,6938.01,1.09E+06,47.1152,0.965307,581730,3.76433,0.502885,17.95,21.525
Qatar,1.80E+11,76.818,21125.2,1.99E+06,89692,1.45E+06,12.5535,0.818904,11610,171.575,1.15482,0.5,3.275
Rwanda,6.95E+09,8.52477,8.01E+06,1.08E+07,640.52,5.32E+06,54.0988,0.659027,26340,438.485,46.601,0.6,0.35
Luxembourg,5.69E+10,92.2093,57132.2,531136,108321,248753,43.9524,0.607974,2590,205.072,24.0425,5.075,5.975
India,1.86E+12,12.65,8.64E+08,1.26E+09,1472,4.78E+08,24.4894,0.562206,3.29E+06,424.918,52.7661,3.55,4.2
Indonesia,8.73E+11,13.96,1.20E+08,2.48E+08,3517.77,1.19E+08,37.8477,0.546523,1.91E+06,136.918,12.986,6.525,7.75
Guatemala,5.04E+10,16.38,7.65E+06,1.54E+07,3270.03,6.34E+06,38.0011,0.634875,108890,143.443,10.2593,3.375,4.7
Ecuador,8.63E+10,35.7771,5.69E+06,1.54E+07,5583.57,7.29E+06,40.0295,0.807741,256370,62.0838,4.71493,4.375,5.875
Eritrea,3.02E+09,0.8,3.85E+06,4.90E+06,614.355,2.36E+06,47.8526,8.57005,117600,48.4767,6.83168,7.2,7.475
Cuba,7.09E+10,22.2095,2.63E+06,1.13E+07,6254.82,5.32E+06,38.1575,1.41974,109880,106.563,30.5237,3.025,3.625
Kyrgyz Republic,6.47E+09,20.98,3.63E+06,5.62E+06,1146.69,2.60E+06,42.646,0.784619,199949,29.3259,6.65368,8.375,9.5
Djibouti,1.35E+09,8.39545,195191,853280,1581.36,289891,34.8625,4.47024,23200,36.8111,0.0819672,0,0
Kazakhstan,1.97E+11,48.8811,7.81E+06,1.68E+07,11687.4,9.03E+06,49.362,0.809001,2.72E+06,6.22247,10.7967,5.425,6.575
Colombia,3.50E+11,46.0202,1.14E+07,4.69E+07,7459.08,2.33E+07,42.4124,1.90831,1.14E+06,42.2423,1.48918,11.05,14.675
Costa Rica,4.43E+10,43.7164,1.21E+06,4.65E+06,9512.01,2.21E+06,37.0653,0.442948,51100,91.124,4.5094,7.6,10.3
Cameroon,2.78E+10,6.4798,1.03E+07,2.17E+07,1277.76,8.52E+06,45.628,0.272384,475440,45.8435,13.1159,3.85,4.25
Tuvalu,3.73E+07,31.75,4258.8,9860,3789.17,0,0,0,30,328.667,0,0,0
Turkmenistan,3.51E+10,7.39916,2.64E+06,5.17E+06,6754.65,2.24E+06,39.2581,0.984479,488100,11.0097,4.12827,10.8,10.95
Turkey,7.84E+11,45.0611,2.09E+07,7.41E+07,10569.3,2.66E+07,30.1655,2.30234,783560,96.2934,26.985,10.225,11.625
St. Lucia,1.31E+09,46.08,147350,180703,7234.15,93750.8,46.4589,0,620,296.234,4.91803,0,0
St. Kitts and Nevis,7.52E+08,64.04,36554.2,53649,14005.8,0,0,0,260,206.342,18.75,0,0
Sao Tome and Principe,2.72E+08,21.5787,65589.2,178548,1514.84,60775,37.4685,0,960,185.987,9.01042,0,0
St. Vincent and the Grenadines,7.00E+08,47.502,55221.4,109336,6403.08,54343.2,41.0777,0,390,280.348,12.8205,0,0
St. Martin (French part),0,0,0,30920.6,0,0,0,0,54.4,568.393,0,0,0
Sint Maarten (Dutch part),0,0,0,35564,0,0,0,0,34,1046,0,0,0
San Marino,0,49.6,1830.4,31157.2,0,0,0,0,60,519.287,16.6667,0,0
Guyana,2.78E+09,33.25,543595,758516,3664.43,314652,34.3844,0.472688,214970,3.85327,2.1336,11.25,14.05
Tanzania,3.94E+10,3.862,3.43E+07,4.87E+07,843.883,2.34E+07,50.2075,0.121309,947300,54.968,14.3938,3.375,4.325
Ethiopia,4.15E+10,1.62656,7.55E+07,9.22E+07,447,4.31E+07,47.2327,0.321018,1.10E+06,92.2258,15.0558,5.475,8.5
Kiribati,1.67E+08,10.7134,59727.6,106589,1563.73,0,0,0,810,131.591,2.46914,0,0
Tajikistan,7.51E+09,14.516,5.83E+06,7.93E+06,942.103,3.43E+06,43.4241,0.475293,142550,56.6937,6.08924,11.15,9.975
Senegal,1.44E+10,11.88,7.89E+06,1.38E+07,1040.08,5.84E+06,44.9839,0.318799,196710,71.6642,17.9193,10.3,13.2
Serbia,4.32E+10,47.24,3.22E+06,7.20E+06,6000.25,3.13E+06,43.745,0.907297,88360,82.3649,37.6401,22.075,25.825
Sierra Leone,3.82E+09,1.316,3.69E+06,6.04E+06,628.363,2.28E+06,49.7406,0.460785,72300,83.7419,21.78,3.35,2.2
Cyprus,2.49E+10,61.0649,369506,1.13E+06,29249.8,591911,43.3195,2.1544,9250,122.185,8.96374,10.45,10
Seychelles,1.20E+09,47.18,42073.6,89388,13378.7,0,0,0,458,195.189,0.620043,0,0
Mexico,1.19E+12,39.1653,2.63E+07,1.22E+08,9748.76,5.24E+07,36.764,0.628269,1.96E+06,62.7773,11.9099,5.075,5.1
Togo,3.94E+09,4.14,4.15E+06,6.75E+06,582.044,3.09E+06,51.1529,0.301759,56790,124.091,46.9755,6.975,7.25
Dominica,5.14E+08,55.1601,22462.6,71720,7167.95,0,0,0,750,95.6267,8,0,0
Dominican Republic,5.93E+10,41.216,2.44E+06,1.02E+07,5839.48,4.52E+06,39.8483,1.10775,48670,210.13,16.5563,14.175,21.25
"Korea, Rep.",1.25E+12,84.1258,8.92E+06,5.00E+07,24945.9,2.56E+07,41.5132,2.58176,100148,513.283,15.4466,3.35,3
Austria,4.18E+11,79.1118,2.88E+06,8.44E+06,49542.6,4.37E+06,46.0666,0.539569,83879,102.247,16.4531,4.425,4.4
"Venezuela, RB",3.95E+11,47.708,3.33E+06,2.98E+07,13197.4,1.36E+07,39.5722,0.843622,912050,33.841,3.06105,8.125,8.95
Bangladesh,1.40E+11,5.886,1.06E+08,1.55E+08,900.976,7.51E+07,40.1527,0.294507,148460,1193.08,59.1861,4.45,5.15
Angola,1.11E+11,16.4146,1.32E+07,2.27E+07,4886.93,8.09E+06,45.9898,1.44837,1.25E+06,18.2119,3.68974,6.875,7.275
Antigua and Barbuda,1.19E+09,56.88,66654.6,89067.8,13332.9,0,0,0,440,202.427,9.09091,0,0
Andorra,3.29E+09,87.6669,10454.8,78949.8,40935.6,0,0,0,470,167.978,5.53191,0,0
"Micronesia, Fed. Sts.",3.12E+08,25.2449,80526.4,103675,3009.25,0,0,0,700,148.107,2.85714,0,0
Nicaragua,1.03E+10,13.44,2.48E+06,5.88E+06,1754.23,2.51E+06,38.3672,0.47899,130370,48.8318,12.6101,7.7,8.325
Nigeria,4.65E+11,33.182,9.21E+07,1.68E+08,2750.42,5.19E+07,42.4838,0.31235,923770,184.839,37.331,7.55,7.4
Niger,6.98E+09,1.43754,1.45E+07,1.77E+07,393.743,5.58E+06,31.0509,0.192104,1.27E+06,13.9491,12.3352,5.1,4.5
Nepal,1.85E+10,11.3639,2.27E+07,2.75E+07,673.024,1.46E+07,50.6514,1.07855,147180,191.929,14.9541,2.7,2.4
"Bahamas, The",8.20E+09,65.7336,64485.4,372165,22016.2,213601,48.3035,0.450467,13880,37.1793,0.824176,14,14.6
Pakistan,2.19E+11,10.332,1.11E+08,1.77E+08,1231.33,6.11E+07,21.88,1.55227,796100,230.216,38.9814,5.025,8.975
Barbados,4.35E+09,70.354,192037,281526,15449.3,160842,48.831,0.379266,430,654.712,26.1628,11.45,13.725
Papua New Guinea,1.33E+10,4.532,6.23E+06,7.16E+06,1879.41,3.15E+06,48.284,0.0799567,462840,15.8,0.662456,2.325,2.8
Paraguay,2.59E+10,30.7607,2.62E+06,6.38E+06,4053.97,3.02E+06,38.9016,0.841968,406752,16.0589,10.9269,5.025,6.3
Panama,3.78E+10,42.4104,1.28E+06,3.74E+06,10057.7,1.74E+06,37.4285,0.688506,75420,50.3618,7.59985,4.775,5.925
Bahrain,3.05E+10,80.2,150433,1.32E+06,22987,737061,19.4412,2.64121,767.8,1722.24,2.08541,7.4,18.125
Brazil,2.40E+12,48.708,3.06E+07,2.02E+08,11836.9,1.06E+08,43.6656,0.672639,8.52E+06,24.2128,8.7116,6.65,8.9
Burkina Faso,1.11E+10,5.52501,1.21E+07,1.66E+07,667.236,7.35E+06,47.4852,0.155984,274220,60.6751,21.8385,3.25,2.3
Burundi,2.53E+09,1.202,9.00E+06,1.01E+07,248.882,4.58E+06,51.473,1.11642,27830,394.538,41.3746,7.025,7.425
Greece,2.64E+11,54.8393,2.55E+06,1.11E+07,23793.7,5.07E+06,42.3992,2.93328,131960,85.8879,19.7944,20.425,24.2
Palau,2.16E+08,0,3119,20769.6,10394.7,0,0,0,460,45.1513,2.17391,0,0
Curacao,0,0,15748.4,152263,0,0,0,0,444,342.935,0,0,0
